ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
26,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149608626,149608829,149611286,149611463,26,51,7,,,80,75,,,0.872,,,ENSG00000269556
165,ENSG00000100109.16,TFIP11,chr22,-,26501899,26502094,26501899,26502052,26503665,26503793,165,0,40,,,117,75,,,0,,,ENSG00000100109
166,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510667,26511118,26511195,166,13,0,,,110,75,,,1,,,ENSG00000100109
167,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510692,26512098,26512175,167,15,0,,,85,75,,,1,,,ENSG00000100109
168,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26511118,26511153,26512098,26512175,168,4,0,,,117,75,,,1,,,ENSG00000100109
169,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511153,26512098,26512175,169,6,0,,,150,75,,,1,,,ENSG00000100109
170,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511195,26512098,26512175,170,8,2,,,150,75,,,0.667,,,ENSG00000100109
333,ENSG00000101391.20,CDK5RAP1,chr20,-,33366858,33367008,33366858,33367005,33370498,33370629,333,46,3,,,78,75,,,0.936,,,ENSG00000101391
1301,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911343,49927693,49927815,1301,0,0,,,98,75,,,,,,ENSG00000213024
1302,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911231,49927693,49927848,1302,0,0,,,150,75,,,,,,ENSG00000213024
1303,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49927693,49927815,49929325,49929465,1303,8,13,,,108,75,,,0.299,,,ENSG00000213024
